seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
37,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14934722501493525,0.8672315000148956,0.0,0.0,0.0,0.0
37,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.125,0.0,0.5,0.15746307498193346,0.8614633249962935,960.0,0.0,0.0,0.0
37,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.125,0.0,0.5,0.15374695000355132,0.8254227500146953,384.0,0.0,0.0,0.0
37,lora_o_r2,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2623782500013476,0.8473939499963308,0.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15853885000979062,0.8687952499749372,0.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,hotpotqa,oracle,4,-6.158598780632019,1.8442181050777435,163.0,-723.75,-7.99609375,3.8203125,0.0,0.0,0.0,0.171501700009685,0.8821969999844441,449.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,hotpotqa,routed,4,-7.055813431739807,0.9470034539699554,369.75,-517.0,-9.310546875,2.505859375,0.05555555555555556,0.0,0.0,0.16802737500984222,0.9193805250106379,384.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5097183500038227,1.233926849992713,0.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.1537029749888461,0.8523048250208376,0.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,qasper,oracle,4,-6.47938084602356,0.7011212110519409,9.5,-1.5,-5.994140625,0.779296875,0.125,0.0,0.5,0.16295514999364968,0.9744730250095017,960.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r2,qasper,routed,4,-6.669818997383118,0.5106830596923828,14.0,3.0,-6.185546875,0.587890625,0.125,0.0,0.5,0.16106665002007503,1.0051576249970822,384.0,24576.0,0.004123144584936778,98304.0
37,lora_o_r4,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2697485500393668,0.8686449249944417,0.0,49152.0,0.008246289169873557,196608.0
